,SSA,PS,C,H,O,N,ASH,pHBC,EC,BCA,SM,T,TS,VS,pHAD,DT,MY,Rmax
186,89.0729518,1.2357057,52.86569,2.806894,31.05254,0.70045,4,6,0.117,2,28.0972,30,38.2,96.78010471,7,6,508.1630917,405.5675676
187,92.2828422,1.2516655,52.55413,2.667946,31.05119,0.71811,4,6,0.117,2.67,28.0972,30,38.2,96.78010471,7,6,425.0013564,330.3891892
188,92.4981081,1.2589645,52.58194,2.667946,31.05003,0.71811,4,6,0.117,3.33,28.0972,30,38.2,96.78010471,7,6,425.0013564,324.1243243
189,86.7657532,1.2596979,52.60513,2.673452,31.04874,0.70836,4,6,0.117,5,28.0972,30,38.2,96.78010471,7,6,446.8860659,319.1783784
190,82.0158359,1.2090597,52.70373,2.672802,31.08792,0.71562,4,6,0.117,8,28.0972,30,38.2,96.78010471,7,6,425.0013564,297.7459459
191,0.87,4.5820905,58.73496,2.583858,31.5735,1.57852,3.01501,6.885,0.95,10,11.8118911,35,6,77.3,7,10,686.0736429,288.4468587
192,0.87,4.5564182,57.27932,2.429518,31.82972,1.60063,3.4106,6.881,0.95,20,12.76727453,35,6,77.3,7,10,648.2169786,447.2644355
193,0.87,4.3555906,58.22522,2.580588,31.60341,1.60706,3.16556,6.87378,0.95,30,12.7569892,35,6,77.3,7,10,797.8404273,340.3022662
194,1.97,0.3863336,57.01993,2.33046,29.57545,1.68446,12.93858,7.51213,0.14,10,6.121214876,35,6,77.3,7,10,465.7404414,279.1546357
195,1.97,0.3944276,58.90602,2.71362,29.24289,1.7004,7.08998,7.36338,0.14,20,7.789944468,35,6,77.3,7,10,924.2423705,517.2609225
196,1.97,0.3889956,58.86036,2.72507,29.21321,1.67863,7.93247,7.35188,0.14,30,5.013291462,35,6,77.3,7,10,728.880679,234.0051466
197,7.11,0.3421889,51.37855,1.861778,31.27601,1.57693,4.61982,7.05131,3.5,10,1.991964616,35,6,77.3,7,10,488.030323,121.7041056
