,SSA,PS,C,H,O,N,ASH,pHBC,EC,BCA,SM,T,TS,VS,pHAD,DT,MY,Rmax
102,89.3819721,0.048,55.1,2.380126,25.9,0.8914,5.02729,4.57375,1.591029114,10,0.50625,35,0.158,100,7,6.67,133.9259259,41.71851852
103,102.2812607,0.048,21.4,1.962706,33.4,0.93177,51.265308,4.1873,2.286293624,10,0.50625,35,0.158,100,7,6.67,192,96.71111111
104,98.582106,0.048,29.6,1.904724,34.7,1.00722,28.454026,4.68635,2.89685836,10,0.50625,35,0.158,100,7,6.67,124.4444444,30.34074074
105,101.1304164,0.048,21.4,1.9431,33.4,0.96665,51.25809,4.17625,2.289043584,5,0.50625,35,0.158,100,7,6.67,167.1111111,104.2962963
106,101.8287356,0.048,21.4,1.962706,33.4,0.93265,51.265308,4.17389,2.286217324,10,0.50625,35,0.158,100,7,6.67,188.8395062,109.9851852
107,112.967344,0.048,21.4,1.977806,33.4,0.93762,51.259718,4.17447,2.435488884,15,0.50625,35,0.158,100,7,6.67,217.6790123,107.1407407
108,101.9629636,0.048,21.4,1.941554,33.4,0.97775,51.11238,4.17598,2.673197909,20,0.50625,35,0.158,100,7,6.67,175.0123457,107.1407407
109,102.7922104,0.048,21.4,1.927622,33.4,0.97493,54.1147,4.17942,3.067030669,30,0.50625,35,0.158,100,7,6.67,176.1975309,117.5703704
110,230,1,15.9,1.632278,25.71336,1.1,62.6,11.8,4.92199058,5.88,22.23,55,25,98.8,8.45,45,145.97,19.5
111,230,1,15.9,1.558372,28.25606,1.1,62.6,11.8,2.00414334,10.81,22.23,55,27,91.48,8.45,30,44.29,1.49
112,230,1,15.9,1.464264,27.06685,1.1,62.6,11.8,2.00039033,11.43,22.23,55,29,85.17,8.45,30,81.71,1.34
113,230,1,15.9,1.564568,28.43863,1.1,62.6,11.8,2.00349224,5.41,22.23,55,27,91.48,8.45,30,33.57,1.49
114,230,1,15.9,1.465798,27.06261,1.1,62.6,11.8,1.99971113,5.71,22.23,55,29,85.17,8.45,30,79.22,1.34
115,160.6316785,1.85,72.9,2.406492,18.08726,0.52,14.35292,8.3,0.16791374,10.7586,2.89,35,16.6,97.5,7,30,186.8,26.02272727
116,147.8836569,1.85,38.6,2.266228,27.28041,0.53,16.50622,8.4,0.795409891,10.3509,2.89,35,16.6,97.5,7,30,172.1,26.66666667
117,134.9809745,1.85,68.5,2.569118,24.97891,0.61,6.64948,8.67,0.213721633,10.5282,2.89,35,16.6,97.5,7,30,171.3,25.14893617
118,150.8594865,1.85,68.5,2.547482,24.67793,0.61,5.19825,8.67,1.021849316,38.187,3.42,35,16.6,97.5,7,30,184.4,28.9
119,150.2173065,1.85,68.5,2.547872,24.76548,0.61,5.10441,8.67,1.031855416,25.5532,3.42,35,16.6,97.5,7,30,168.8,28.3
120,127.0407011,1.85,68.5,2.575078,25.11708,0.61,6.69884,8.67,0.228332509,12.8123,3.42,35,16.6,97.5,7,30,178.2,22
121,126.4364349,1.85,68.5,2.576308,24.75759,0.61,6.58207,8.67,0.204733444,6.3883,3.42,35,16.6,97.5,7,30,163.9,29.07692308
122,109.8648508,0.6291946,57.82074,1.882638,26.4075,0.90139,41.2,6.4,0.4422,1.25,13.40348,37,11.5,85.7,7.1,2,152.4571429,125.4545455
123,109.7406444,0.6492093,58.13376,1.867576,26.13546,0.84187,41.2,6.4,0.4422,2.5,13.40348,37,11.5,85.7,7.1,2,195.4285714,138.1818182
124,111.1193044,0.703628,56.89521,1.796676,26.51102,0.85961,41.2,6.4,0.4422,3.75,13.40348,37,11.5,85.7,7.1,2,178.9714286,119.0909091
125,104.0595197,0.6212471,57.91987,1.877484,26.67143,0.89772,41.2,6.4,0.4422,5,13.40348,37,11.5,85.7,7.1,2,166.1714286,107.2727273
126,14.1846548,0.5897584,16.12624,1.574142,26.62672,1.32284,59.3,9.5,0.2107,1.25,13.40348,37,11.5,85.7,7.1,2,231.8181818,144.5454545
127,14.2376848,0.5799206,16.12074,1.580352,26.70223,1.31603,59.3,9.5,0.2107,2.5,13.40348,37,11.5,85.7,7.1,2,191.8181818,127.2727273
128,14.7200548,0.6379166,16.11716,1.584508,26.62572,1.32465,59.3,9.5,0.2107,3.75,13.40348,37,11.5,85.7,7.1,2,178.1818182,114.5454545
129,14.8384148,0.556035,16.24794,1.593912,26.72888,1.34832,59.3,9.5,0.2107,5,13.40348,37,11.5,85.7,7.1,2,170.9090909,103.6363636
130,0.62,5.3023993,49.38104,1.730506,35.30133,1.46114,20.5,8.61,3.6,0.65,3.5812,37,94.4,95.8,7.74,21,353.83,70.4675054
131,0.61,5.117431,50.93681,1.615544,32.30242,1.50127,22.7,10.19,3.6,0.65,3.5812,37,94.4,95.8,7.75,21,362.62,77.30961066
132,182,1.6173367,45.24739,3.42213,35.04072,0.68465,7.47395,8.54489,13.63928413,0.25,18.4985,37,19.25,92.4,7,15,280.02,75.71679677
133,182,1.4458849,45.37366,3.330694,34.148,0.69069,7.59971,8.51966,10.288878,0.5,18.4985,37,19.25,92.4,7,15,254.68,74.92065173
134,182,1.5027043,47.87867,2.583352,33.10768,0.6852,15.9791,8.2642,0.33486071,0.75,18.4985,37,19.25,92.4,7,15,319.84,101.6938115
135,182,1.5122897,47.84918,2.653086,32.9087,0.6818,15.92203,8.26352,0.30062691,1,18.4985,37,19.25,92.4,7,15,331.41,103.0000067
136,182,1.5032713,47.69047,2.46656,32.98227,0.67827,17.90356,8.25054,0.30775671,1.25,18.4985,37,19.25,92.4,7,15,313.11,99.86748392
137,192,1.3088208,43.7561,1.892004,33.18302,0.72053,23.52455,8.58891,3.398184004,7.5,4.256,55,25.39,83.81,7.41,28,740.3,123.7
138,192,1.3040665,46.08321,2.254298,32.62019,0.68189,21.83687,8.56725,2.049324215,15,4.256,55,25.39,83.81,7.41,28,701.3,134.3
139,192,1.2624201,45.57406,2.306838,32.9195,0.68905,21.60807,8.77042,1.411500825,22.5,4.256,55,25.39,83.81,7.41,28,625.6,99.2
140,192,1.2591477,45.39098,2.038058,33.1698,0.84749,23.48481,8.87533,1.864278825,30,4.256,55,25.39,83.81,7.41,28,584.2,98.7
141,192,1.2617681,45.40867,2.041958,32.67443,0.82508,23.36716,8.84699,1.864046225,37.5,4.256,55,25.39,83.81,7.41,28,562.7,69.5
142,21.3196,0.25,55.58332,1.945956,27.73268,0.90263,3.04588,6.78,0.641,6,0.003138,37,1.97,53.12,7,32,116.17,9.047619048
